x,y,name,show,img
820,500,AL ,Riverdale,0.jpg
280,580,AK,Iron Fist,1.jpg
330,450,AZ,The End of the F***ing World,2.jpg
700,460,AR,Riverdale,3.jpg
190,340,CA,Jane the Virgin,4.jpg
450,350,CO ,Stranger Things,5.jpg
1025,240,CT,13 Reasons Why,6.jpg
1030,320,DE,Iron Fist,7.jpg
930,580,FL,Daredevil,8.jpg
870,480,GA,Luke Cage,9.jpg
150,500,HI,Iron Fist,10.jpg
315,220,ID,Stranger Things,11.jpg
750,320,IL,13 Reasons Why,12.jpg
800,320,IN,The Defenders,13.jpg
670,290,IA,The End of the F***ing World,14.jpg
580,375,KS,Orange Is the New Black,15.jpg
840,380,KY,Daredevil,16.jpg
700,540,LA,Orange Is the New Black,17.jpg
1055,140,ME,The End of the F***ing World,18.jpg
1020,340,MD,Luke Cage,19.jpg
1090,220,MA,Peaky Blinders,20.jpg
820,250,MI ,Orange Is the New Black,21.jpg
650,200,MN ,Making a Murderer,22.jpg
760,500,MS ,13 Reasons Why,23.jpg
685,375,MO ,Ozark,24.jpg
420,160,MT ,Dark,25.jpg
570,305,NE ,Stranger Things,26.jpg
260,320,NV ,The End of the F***ing World,27.jpg
1033,195,NH ,The End of the F***ing World,28.jpg
1030,290,NJ ,13 Reasons Why,29.jpg
440,460,NM,Breaking Bad/Better Call Saul,30.jpg
980,230,NY,Daredevil,31.jpg
950,410,NC,13 Reasons Why,32.jpg
560,160,ND,Gilmore Girls: A Year in the Life,33.jpg
860,310,OH,13 Reasons Why,34.jpg
600,450,OK,Orange Is the New Black,35.jpg
215,185,OR,Disenchantment,36.jpg
950,285,PA,Mindhunter,37.jpg
1055,245,RI,13 Reasons Why,38.jpg
920,450,SC,The End of the F***ing World,39.jpg
560,230,SD,Daredevil,40.jpg
820,425,TN,House of Cards,41.jpg
570,540,TX,Jane the Virgin,42.jpg
350,340,UT,Stranger Things,43.jpg
1007,180,VT,Comedians in Cars Getting Coffee,44.jpg
950,360,VA,Daredevil,45.jpg
250,110,WA,Altered Carbon,46.jpg
900,350,WV,Orange Is the New Black,47.jpg
730,240,WI,Making a Murderer,48.jpg
435,255,WY,Lost in Space,49.jpg
